Guard: web
+-----------------------------+-------------+------------+-----------+--------------+---------------+---------------+------------+------------+------------------+---------------+--------------+----------+---------------------+-------------+----------------+-----------+-----------+---------+--------------------+------------+-----------+-------+-------------+----------+----------------+------------+-------------+
|                             | admin lomba | admin unit | bendahara | kabid dakwah | kabid ekonomi | kabid finance | kabid halo | kabid msdm | kabid pendidikan | kabid sarpras | kabid sosial | karyawan | kepala sekeretariat | kepala unit | ketua koperasi | orang tua | pendaftar | peserta | pimpinan pesantren | sekretaris | staf msdm | staff | staff humas | staff it | staff keuangan | staff msdm | super admin |
| departemen.index            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| departemen.store            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| departemen.update           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| guru.create                 |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| guru.delete                 |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| guru.edit                   |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| guru.index                  |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| guru.store                  |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| guru.update                 |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinabsen.approve           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinabsen.create            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinabsen.delete            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinabsen.edit              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinabsen.index             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinsakit.approve           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinsakit.create            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinsakit.delete            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinsakit.edit              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| izinsakit.index             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ✔       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatan.create              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatan.delete              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatan.edit                |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatan.index               |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatan.store               |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatan.update              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ✔        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatanakademik.delete      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatanakademik.edit        |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatanakademik.index       |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatanakademik.store       |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jabatanakademik.update      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jadwalpelajaran.create      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jadwalpelajaran.delete      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jadwalpelajaran.edit        |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jadwalpelajaran.index       |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jadwalpelajaran.store       |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jadwalpelajaran.update      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jamkerja.create             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jamkerja.delete             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jamkerja.edit               |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jamkerja.index              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jamkerja.store              |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jamkerja.update             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jenisbayar.create           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbayar.delete           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbayar.edit             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbayar.index            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbayar.store            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbayar.update           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbiaya.create           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbiaya.delete           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbiaya.edit             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbiaya.index            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbiaya.store            |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenisbiaya.update           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| jenispembiayaan.create      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ✔             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jenispembiayaan.delete      |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ✔             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| jenispembiayaan.edit        |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ✔             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
